                                              radext_fao56: EXTRA TERRESTRIAL RADIATION (W/m2)

         DAY   90S  80S   70S   60S   50S   40S   30S   20S   10S   EQ    10N   20N   30N   40N   50N   60N    70N    80N    90N

(52)	 53    0.4 256.6 292.4 342.8 387.3 422.0 445.0 455.2 452.2 436.0 407.0 366.1 314.7 254.5 187.7 117.1  47.6 -999.9 -999.9
(53)	 54    0.4 248.0 287.0 338.4 383.7 419.2 442.9 454.0 451.8 436.3 408.0 367.8 317.0 257.3 190.7 120.2  50.3 -999.9 -999.9
(54)	 55    0.3 239.4 281.6 333.9 380.0 416.3 440.9 452.7 451.3 436.6 409.1 369.6 319.3 260.0 193.8 123.4  53.2 -999.9 -999.9
(55)	 56    0.3 231.1 276.2 329.5 376.4 413.4 438.7 451.4 450.8 436.9 410.1 371.3 321.6 262.8 196.9 126.6  56.1   0.4 -999.9
(56)	 57    0.3 223.2 270.8 325.0 372.7 410.5 436.6 450.1 450.3 437.2 411.1 373.0 324.0 265.7 200.1 129.9  59.1   1.3 -999.9
(57)	 58    0.3 215.5 265.4 320.5 369.0 407.5 434.4 448.7 449.7 437.4 412.2 374.7 326.3 268.5 203.3 133.2  62.2   2.5 -999.9
(58)	 59    0.3 208.0 260.0 316.0 365.2 404.5 432.2 447.3 449.1 437.6 413.2 376.4 328.7 271.4 206.5 136.6  65.4   4.0 -999.9
(59)	 60    0.3 200.7 254.7 311.5 361.5 401.5 430.0 445.9 448.5 437.9 414.2 378.2 331.0 274.2 209.8 140.0  68.6   5.7 -999.9
(60)	 61    0.3 193.6 249.3 307.0 357.7 398.5 427.8 444.4 447.9 438.1 415.1 379.9 333.3 277.1 213.0 143.5  71.9   7.6 -999.9
(61)	 62    0.3 186.5 244.0 302.5 353.9 395.4 425.5 443.0 447.3 438.2 416.1 381.6 335.7 280.0 216.3 147.0  75.2   9.7 -999.9
(62)	 63    0.2 179.6 238.7 298.0 350.1 392.4 423.2 441.5 446.6 438.4 417.0 383.3 338.1 282.9 219.6 150.5  78.7  11.9 -999.9
(63)	 64    0.2 172.8 233.4 293.5 346.3 389.3 420.9 440.0 445.9 438.5 418.0 384.9 340.4 285.8 223.0 154.1  82.2  14.3 -999.9
(64)	 65    0.2 166.1 228.1 288.9 342.4 386.2 418.5 438.4 445.2 438.6 418.9 386.6 342.8 288.8 226.3 157.7  85.7  16.9 -999.9
(65)	 66    0.2 159.6 222.9 284.4 338.6 383.0 416.2 436.9 444.5 438.7 419.8 388.3 345.1 291.7 229.7 161.4  89.4  19.7 -999.9
(66)	 67    0.2 153.1 217.7 279.9 334.7 379.9 413.8 435.3 443.7 438.8 420.7 389.9 347.5 294.6 233.1 165.0  93.1  22.6 -999.9
(67)	 68    0.2 146.8 212.5 275.4 330.8 376.7 411.3 433.7 442.9 438.9 421.6 391.6 349.8 297.6 236.6 168.8  96.8  25.6 -999.9
(68)	 69    0.2 140.6 207.3 270.8 327.0 373.5 408.9 432.0 442.1 438.9 422.4 393.2 352.1 300.5 240.0 172.5 100.6  28.8 -999.9
(69)	 70    0.1 134.5 202.2 266.3 323.1 370.3 406.5 430.4 441.3 438.9 423.3 394.8 354.5 303.5 243.5 176.3 104.5  32.1 -999.9
(70)	 71    0.1 128.5 197.1 261.8 319.2 367.1 404.0 428.7 440.5 438.9 424.1 396.4 356.8 306.5 246.9 180.1 108.5  35.6 -999.9
(71)	 72    0.1 122.6 192.0 257.3 315.3 363.9 401.5 427.0 439.6 438.9 424.9 398.0 359.1 309.4 250.4 184.0 112.4  39.2 -999.9
(72)	 73    0.1 116.8 187.0 252.9 311.4 360.6 399.0 425.3 438.7 438.8 425.6 399.6 361.4 312.4 253.9 187.9 116.5  42.9 -999.9
(73)	 74    0.1 111.2 182.0 248.4 307.5 357.4 396.4 423.5 437.8 438.7 426.4 401.2 363.7 315.3 257.4 191.8 120.6  46.8 -999.9
(74)	 75    0.1 105.6 177.1 244.0 303.6 354.1 393.9 421.7 436.8 438.6 427.1 402.7 366.0 318.3 260.9 195.7 124.8  50.8 -999.9
(75)	 76    0.1 100.2 172.2 239.5 299.7 350.8 391.3 420.0 435.8 438.5 427.9 404.2 368.3 321.3 264.5 199.7 129.0  54.9 -999.9
(76)	 77    0.1  94.9 167.4 235.1 295.8 347.6 388.7 418.1 434.9 438.4 428.5 405.7 370.6 324.2 268.0 203.7 133.3  59.1 -999.9
(77)	 78    0.0  89.7 162.6 230.7 291.9 344.3 386.2 416.3 433.8 438.2 429.2 407.2 372.8 327.2 271.5 207.7 137.6  63.4 -999.9
(78)	 79    0.0  84.6 157.8 226.4 288.0 341.0 383.6 414.5 432.8 438.0 429.9 408.7 375.1 330.1 275.1 211.7 141.9  67.9 -999.9
(79)	 80    0.0  79.6 153.1 222.0 284.2 337.7 380.9 412.6 431.8 437.8 430.5 410.1 377.3 333.0 278.6 215.8 146.3  72.5 -999.9
(80)	 81  -999.9  74.8 148.5 217.7 280.3 334.4 378.3 410.7 430.7 437.5 431.1 411.6 379.5 336.0 282.2 219.8 150.8  77.2   0.0
(81)	 82  -999.9  70.1 143.9 213.4 276.5 331.1 375.7 408.8 429.6 437.3 431.7 413.0 381.7 338.9 285.7 223.9 155.3  82.0   0.0
(82)	 83  -999.9  65.5 139.4 209.2 272.6 327.8 373.0 406.9 428.5 437.0 432.3 414.4 383.9 341.8 289.3 228.0 159.8  86.9   0.0
(83)	 84  -999.9  61.0 134.9 204.9 268.8 324.5 370.4 405.0 427.3 436.7 432.8 415.7 386.1 344.7 292.8 232.1 164.4  91.9   0.0
(84)	 85  -999.9  56.7 130.5 200.7 265.0 321.2 367.7 403.1 426.2 436.4 433.3 417.1 388.2 347.6 296.4 236.2 169.0  97.1   0.1
(85)	 86  -999.9  52.5 126.1 196.5 261.2 317.9 365.0 401.1 425.0 436.0 433.8 418.4 390.3 350.4 299.9 240.4 173.7 102.3   0.1
(86)	 87  -999.9  48.4 121.8 192.4 257.4 314.6 362.4 399.1 423.8 435.6 434.3 419.7 392.4 353.3 303.5 244.5 178.4 107.6   0.1
(87)	 88  -999.9  44.4 117.6 188.3 253.6 311.3 359.7 397.2 422.6 435.3 434.7 421.0 394.5 356.1 307.0 248.7 183.1 113.1   0.1
(88)	 89  -999.9  40.6 113.4 184.2 249.8 308.1 357.0 395.2 421.4 434.8 435.1 422.3 396.6 359.0 310.5 252.8 187.8 118.6   0.1
(89)	 90  -999.9  37.0 109.3 180.2 246.1 304.8 354.3 393.2 420.1 434.4 435.5 423.5 398.6 361.8 314.0 257.0 192.6 124.3   0.1
(90)	 91  -999.9  33.4 105.3 176.2 242.4 301.5 351.6 391.2 418.9 434.0 435.9 424.7 400.7 364.6 317.5 261.1 197.4 130.0   0.1
(91)	 92  -999.9  30.0 101.3 172.2 238.7 298.3 348.9 389.1 417.6 433.5 436.3 425.9 402.7 367.3 321.0 265.3 202.2 135.8   0.2
(92)	 93  -999.9  26.8  97.4 168.3 235.1 295.0 346.3 387.1 416.3 433.0 436.6 427.0 404.6 370.1 324.5 269.5 207.1 141.8   0.2
(93)	 94  -999.9  23.7  93.5 164.5 231.4 291.8 343.6 385.1 415.0 432.5 436.9 428.2 406.6 372.8 328.0 273.6 212.0 147.8   0.2
(94)	 95  -999.9  20.7  89.8 160.6 227.8 288.6 340.9 383.0 413.7 432.0 437.2 429.3 408.5 375.5 331.4 277.8 216.9 153.9   0.2
(95)	 96  -999.9  18.0  86.1 156.9 224.2 285.4 338.2 381.0 412.4 431.4 437.5 430.4 410.4 378.2 334.9 281.9 221.8 160.2   0.2
(96)	 97  -999.9  15.3  82.4 153.1 220.7 282.2 335.5 378.9 411.0 430.8 437.7 431.5 412.3 380.9 338.3 286.1 226.7 166.5   0.2
(97)	 98  -999.9  12.8  78.9 149.4 217.1 279.0 332.9 376.9 409.7 430.3 437.9 432.5 414.2 383.5 341.7 290.2 231.6 172.9   0.2
(98)	 99  -999.9  10.5  75.4 145.8 213.6 275.9 330.2 374.8 408.3 429.7 438.1 433.5 416.0 386.1 345.1 294.3 236.6 179.5   0.2
(99)	100  -999.9   8.4  72.0 142.2 210.2 272.7 327.6 372.8 407.0 429.0 438.3 434.5 417.8 388.7 348.4 298.4 241.6 186.1   0.3
(100)	101  -999.9   6.5  68.7 138.6 206.8 269.6 324.9 370.7 405.6 428.4 438.5 435.5 419.6 391.3 351.7 302.6 246.5 192.9   0.3
(101)	102  -999.9   4.7  65.4 135.1 203.4 266.5 322.3 368.7 404.2 427.8 438.6 436.4 421.3 393.8 355.1 306.6 251.5 199.7   0.3
(102)	103  -999.9   3.2  62.2 131.7 200.0 263.5 319.7 366.6 402.8 427.1 438.7 437.3 423.0 396.4 358.4 310.7 256.5 206.7   0.3
(103)	104  -999.9   1.8  59.1 128.3 196.7 260.4 317.0 364.6 401.4 426.4 438.8 438.2 424.7 398.8 361.6 314.8 261.5 213.9   0.3
(104)	105  -999.9   0.8  56.1 124.9 193.4 257.4 314.5 362.5 400.0 425.7 438.9 439.1 426.4 401.3 364.9 318.8 266.5 221.3   0.3
(105)	106  -999.9   0.1  53.2 121.6 190.1 254.4 311.9 360.5 398.6 425.0 438.9 439.9 428.0 403.7 368.1 322.8 271.5 228.9   0.3
(106)	107  -999.9 -999.9  50.3 118.4 186.9 251.4 309.3 358.4 397.2 424.3 439.0 440.7 429.6 406.1 371.3 326.8 276.4 237.0   0.3
(107)	108  -999.9 -999.9  47.5 115.2 183.7 248.5 306.8 356.4 395.8 423.6 439.0 441.5 431.2 408.5 374.4 330.8 281.4 245.1   0.4
(108)	109  -999.9 -999.9  44.8 112.1 180.6 245.6 304.2 354.4 394.4 422.9 439.0 442.3 432.8 410.8 377.5 334.7 286.4 253.2   0.4
(109)	110  -999.9 -999.9  42.2 109.0 177.5 242.7 301.7 352.4 392.9 422.1 439.0 443.1 434.3 413.1 380.6 338.7 291.4 261.1   0.4
(110)	111  -999.9 -999.9  39.6 106.0 174.4 239.8 299.2 350.3 391.5 421.4 438.9 443.8 435.8 415.4 383.7 342.6 296.3 269.0   0.4
(111)	112  -999.9 -999.9  37.1 103.0 171.4 237.0 296.7 348.4 390.1 420.6 438.9 444.5 437.3 417.7 386.7 346.4 301.2 276.7   0.4
